Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Albania,ALB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.2681255340576,..,..,37.9863548278809,..,..,40.0151710510254,..
Albania,ALB,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2037.12265690908,2111.45010313022,2128.25386913991,2106.61373756418,2036.93754711735,2031.01830136765,2104.43261699367,2046.57131837887,1979.80147204283,2116.8753489447,1880.04133961703,1331.75977954904,1243.3906105403,1371.09660087204,1494.04115196592,1703.23715591804,1869.81682332839,1676.08283992159,1835.59672181564,2085.37114722307,2244.56483625821,2453.55746392687,2572.65220137171,2725.09674471869,2887.29129104856,3062.59250441631,3263.81240015098,3485.22762820259,3775.47970880563,3928.3421433855,4094.36020359235,4210.07700502783,4276.91764306365,4327.60823177573,4413.33512231953,4524.46750792429,4683.51921650756,4867.63246464765,..
Albania,ALB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,74.6607032875427,77.1741106583994,74.3666339192289,75.3974630495873,75.7464247641652,76.1939197382069,75.8818779112211,78.0247036369265,75.0118130475276,80.9287927914084,78.0379104914866,77.836534442498,78.8759441227688,81.0974774748578,81.4337623759461,77.0583127402526,78.6375113710156,80.3814035334453,79.6938123131685,76.5939750800565,69.8249960719512,56.079290645733,53.4789779579446,54.8469148031933,49.5416411855723,45.453763744009,41.4493402366839,45.2948182996352,58.2387938547152,58.7150980055366,60.9558278415635,63.233130384996,64.5283712223687,65.5782732614305,66.4866805505628,64.4559899021893,65.1223924710814,63.8471757910902,63.4217264005157,63.2390037485134,61.5027652749324,57.7540817221547,56.3953388128232,61.4218013942638,..,..,..,..
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.489,6.401,6.282,6.133,5.96,5.773,5.581,5.394,5.218,5.057,4.91,4.775,4.642,4.509,4.373,4.235,4.099,3.966,3.841,3.725,3.621,3.53,3.452,3.383,3.323,3.269,3.217,3.164,3.108,3.046,2.978,2.905,2.829,2.751,2.672,2.591,2.507,2.422,2.334,2.246,2.157,2.068,1.981,1.897,1.821,1.754,1.703,1.668,1.65,1.646,1.653,1.668,1.685,1.7,1.71,1.714,1.713,1.71,..
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.2,..,..,..,..,..,25.4,..,..,24.3,..,..,24.5,..,..,..,22.9,..,..,..,..,..,..
Albania,ALB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.1876068115234,..,..,..,..,..,..,97.3061981201172,..,..,98.0081634521484,98.3526077270508,..,..,..,..,..,..
Albania,ALB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.2522735595703,..,..,..,..,..,..,94.6818084716797,..,..,95.6914825439453,96.1360702514648,..,..,..,..,..,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.7129821777344,..,..,..,..,..,..,95.9386367797852,..,..,96.8452987670898,97.2469711303711,..,..,..,..,..,..
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.05202163275818,5.84831705344366,5.65159574468085,5.44128198995456,6.11750454270139,5.65142619937141,5.62618650405569,5.86222892264873,5.61731662843362,5.16761272357288,5.8883007196812,5.79127042184833,4.6708878237371,3.19945106674965,2.54781906037648,2.05358735905793,1.37902962734156,1.28308078036268,1.23824256064749,1.24921009885957,1.24636024189216,1.30929137475594,1.32003449433204,1.33684292419802,1.38115794211088,1.35000497056322,1.56776908873068,1.8207653435572,1.98486885667761,1.51721713955964,1.55859189302343,1.52826631112524,1.48708257655211,1.40898210141128,1.3465159912894,1.16760128651357,1.10334728455264,1.24417512390738,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.2713775634766,98.3777694702148,98.4836578369141,98.5864791870117,98.6831893920898,98.7707138061524,98.8460083007812,98.906005859375,98.9476470947266,98.9678802490234,98.9651565551758,98.9440231323242,98.9105377197266,98.8707733154297,98.8307876586914,98.7966461181641,98.7744140625,98.7701416015625,99.3,98.8276748657227,98.8849716186523,98.9572982788086,98.7646604654583,99.1349868774414,99.2343444824219,99.3367080688477,99.439567565918,..,..
Algeria,DZA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.2861137390137,..,..,50.4757881164551,..,..,42.7766265869141,..
Algeria,DZA,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2466.03823773921,2078.22193264149,1628.38872469851,2133.31860696595,2200.81387552427,2276.14699806443,2107.80039069983,2242.45041658515,2414.01669523072,2543.56326506323,2691.80231716574,2321.35040216342,2877.74526458977,2906.70050213366,3039.42057095695,3104.49357283744,3270.68035550656,3345.37801658058,3548.90006516235,3702.77744976188,3620.70353744051,3616.0163127638,3729.25717804288,3809.80376338816,3900.85047953641,3924.70927125649,3825.90401773088,3691.64755540573,3554.62274036993,3613.14659345199,3550.03267154172,3422.63861820934,3403.90345222401,3259.84367977166,3164.8985771543,3223.55756040321,3297.86337455833,3281.10213909542,3397.41019779189,3457.13704649758,3541.07203679729,3600.4372541096,3754.51627515001,3974.17503202227,4091.1442350798,4273.31275146765,4282.32823091748,4359.37574752245,4390.49963275957,4386.03889558891,4463.39467488951,4504.92009813206,4564.43501678967,4596.21962738807,4675.88502447667,4759.5952415194,4827.72425138732,4820.43406371988,..
Algeria,DZA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,98.9998155557243,98.7799260603456,98.5250384510664,99.0310121985338,99.3523935734228,99.3653460567797,99.5899210186748,99.6661385613647,99.7079146405309,99.7303500701322,99.6631747094961,99.7016833944484,99.8406391089552,99.6826973385513,99.6179136817876,99.8095152757473,99.7558164731324,99.8983133550917,99.8629720654817,99.9382964325205,..,..,..,..,99.8724592861507,99.8415348967642,99.7640772813502,99.7130903482615,99.7444923964653,99.8150521253614,99.775682483189,99.7404291366082,99.7316064568209,99.7379391339997,99.6103138329027,99.7400186289448,99.7520839062203,99.8211363460024,99.8106194648149,99.8478347914606,99.8874756325738,99.8589173711226,99.9103649953028,99.9779167201605,..,..,..,..
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.524,7.573,7.614,7.646,7.665,7.675,7.676,7.672,7.666,7.656,7.643,7.624,7.597,7.558,7.505,7.434,7.344,7.234,7.105,6.957,6.794,6.617,6.43,6.237,6.038,5.835,5.627,5.412,5.191,4.962,4.726,4.479,4.223,3.962,3.702,3.448,3.208,2.988,2.796,2.635,2.514,2.438,2.403,2.405,2.438,2.497,2.575,2.662,2.749,2.828,2.889,2.925,2.936,2.924,2.89,2.839,2.776,2.709,..
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.8,..,..,..,..,..,..,26.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.9,..,..,..,..,..,..,..
Algeria,DZA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.3774299621582,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.1866912841797,..,..,..,81.2840423583984,..,82.615837097168,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.8399200439453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.075080871582,..,..,..,63.9187889099121,..,67.5487518310547,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.6308784484863,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.8734970092773,..,..,..,72.648681640625,..,75.1360473632813,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,2.5114854517611,3.49645390070922,3.41863517060367,3.51259360108918,3.01910043130006,2.61472785485592,2.38686735837108,2.13053918358437,2.08758503401361,1.79584396646008,1.68816199376947,1.95766814852145,2.13109429304577,2.70172122848464,2.24195045907314,2.37522893772894,2.13869586579631,2.10206329573495,1.81804887475257,2.06309744064138,1.95121325165132,1.75512400703414,1.64370689684736,1.78721366645198,1.85637627675836,1.74969874927024,1.54012377856337,1.46107058594342,1.21083405924608,2.14013212989672,2.50563157717782,3.14643001210165,2.93502710736712,3.0940883958553,3.63740346813324,3.96567378793071,3.75507998270644,3.43338563505363,3.82069546333074,3.70082935899902,3.25121089347184,3.2838845233139,2.83417835011465,2.6438075477202,2.92332102697669,3.02474714090386,3.84851369829344,3.51801260882618,4.32570635861069,4.4610791607313,4.84450338659703,5.54848404803162,6.27421002746322,6.42447386531613,5.70823510813507,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10613.9115418862,10630.4536535068,10661.173537835,10644.5810685804,10282.4565949728,10619.6136467331,10500.3858391248,10199.0601502139,10352.8227618312,10442.7264995652,10000.3110739949,9711.11271653165,9779.88348722076,9884.11186605049,9614.47267179797,9090.37143164562,..
American Samoa,ASM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.4699630737305,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.2199096679688,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.3441619873047,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
Andorra,AND,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,42137.5189947395,41883.1412123491,43051.2231750558,44201.7280770732,44648.3822216412,43158.00760544,43079.8158044325,42958.8938568115,42339.3340715661,41041.8667765521,40495.698015877,38896.6259416659,37756.4209028065,36776.5149572427,35820.9317453704,35095.9925402225,34744.3924512446,35204.9894579815,35546.6495470777,35831.6208246802,35780.5196725988,35291.7114092924,34278.6471002551,32766.0596707401,32633.8251274783,32917.6488213571,34175.2600684125,37293.2824132908,38595.7232096964,40035.4824490851,40801.5421300322,41420.8461776969,42396.3023980284,45519.4923839434,47032.8668884706,48831.9293599384,49708.4004893013,48710.6646202996,43900.9517028654,41979.8659013974,39736.3540626699,38205.7710887919,38190.5865853723,39104.301849019,40785.0492283396,41765.9203531235,42958.558392534,43942.9381865109,..
Andorra,AND,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.24,1.18,1.25,1.19,1.27,..,..,..,..,..,..,..,..
Andorra,AND,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3978080749512,12.5793790817261,13.7604398727417,14.9384412765503,16.1103248596191,17.2730312347412,18.4235019683838,19.5586757659912,20.6754951477051,21.7709007263184,22.843355178833,20,24.939094543457,25.9745082855225,27.0097007751465,28.0507354736328,29.1036758422852,37.5,31.2680130004883,32.3824691772461,33.514949798584,34.6,35.821964263916,36.9904899597168,32,42,40.5206069946289,..,..
Angola,AGO,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.203540802002,..,..,29.3181209564209,..,..,..,..
Angola,AGO,"Bird species, threatened",EN.BIR.THRD.NO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2969.96037634911,2742.65626908153,2646.01255480688,2660.14496546948,2724.88899632259,2732.0768758651,2730.99300549566,2767.17998670446,2861.3555400182,2786.7259738233,2614.49250390456,2560.06303053766,2333.47654950556,1716.2104308705,1684.21525457825,1878.79326578951,2073.21495929023,2164.08163813131,2204.90986284958,2190.08727432847,2189.56075278223,2208.79153600302,2426.43178348175,2412.39252143346,2582.64647618106,2866.43469368999,3085.42483250404,3394.51233451448,3641.44750233665,3544.02655167285,3585.90555256868,3580.26990983252,3750.20909664115,3799.42961666813,3846.24091075103,3751.69446496907,3533.86516015036,3413.65643792257,..
Angola,AGO,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,15.834196369121,21.2608056842657,20.1069410228998,20.9261042279001,17.82626378517,16.8222447142506,14.22482628079,20.3840290081998,19.9556566271436,19.9630642352265,19.1593948140793,16.6165495845697,17.6234054770716,17.0652488118416,20.307574107072,19.8912888219892,20.3842360205843,22.0179649033579,22.1032510621213,25.4803884173733,25.4828610894249,24.0980759316387,24.9646618214416,24.4396830159153,22.7801963282831,23.498096951988,23.8744737221415,22.1248654389638,24.7144129205662,25.2200519176355,26.6792999769536,28.1478041542876,31.7214241193656,31.5616371865686,27.0837714677975,31.6746743551437,34.7424758172093,37.9607595728901,41.7993312438043,42.9925150346511,43.8497838995534,48.0100597690859,46.5085539184957,48.3055930097329,..,..,..,..
